Index,Day,Time,Probability,Boosted Probability,Boosted People,Special Notes,Type,Michael,Jacob,Gavin,Lawrence,Nathan,Gabby,Raymond,Chris,Kurumi,Ethan,Chloe,Aidan,Justin,Lilly,Mudkip,Will,James,Denzel,Michael_mult,Jacob_mult,Gavin_mult,Lawrence_mult,Nathan_mult,Gabby_mult,Raymond_mult,Chris_mult,Kurumi_mult,Ethan_mult,Chloe_mult,Aidan_mult,Justin_mult,Lilly_mult,Mudkip_mult,Will_mult,James_mult,Denzel_mult
0,Oct 1,0,"{0:0.75, 1:0.25}",NaN,NaN,mrs. johnson,no_skip,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,Oct 1,20,"{0:0.75, 1:0.25}",NaN,NaN,mrs. johnson,no_skip,0,0,NaN,0,1,0,0,0,NaN,0,NaN,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Oct 2,0,"{0:0.75, 1:0.25}",NaN,NaN,mrs. johnson,no_skip,0,0,1,NaN,1,0,0,0,NaN,0,0,NaN,0,1,0,0,0,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Oct 2,-1,"{0:0.75, 6:0.25}",NaN,NaN,horse derby,no_skip,0,0,0,NaN,0,6,0,0,NaN,0,0,0,6,0,0,6,0,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,Oct 2,20,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,mr. kim,no_skip,0,0,0,NaN,0,1,0,0,2,2,1,0,0,0,1,NaN,0,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,Oct 3,0,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,mr. kim,no_skip,2,1,0,1,1,1,1,0,2,2,NaN,NaN,1,NaN,0,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,Oct 3,20,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,mr. kim,no_skip,1,1,NaN,1,3,1,1,1,NaN,1,NaN,NaN,2,1,NaN,NaN,0,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,Oct 4,0,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,"mr. kim, two 1% pulls!",no_skip,1,1,0,2,0,NaN,1,1,10,0,10,3,3,1,1,NaN,0,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,Oct 4,20,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,mr. kim,no_skip,0,1,2,0,1,0,0,1,NaN,0,2,2,2,1,1,NaN,0,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,Oct 5,0,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,mr. kim,no_skip,0,0,3,0,0,1,1,0,0,0,2,NaN,0,0,1,NaN,0,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,Oct 5,1,"{5:0.5, 8:0.35, 10:0.1, 18:0.04, 30:0.01}",NaN,NaN,giovanni,no_skip,NaN,NaN,NaN,NaN,5,8,5,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,Oct 5,-1,"{8:0.25, 0:0.75}",NaN,NaN,horse derby,no_skip,0,NaN,0,0,0,0,0,0,0,0,0,8,0,8,0,8,8,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,Oct 5,8,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,giovanni,no_skip,1,0,0,1,NaN,1,NaN,1,NaN,1,0,0,0,1,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,Oct 6,0,"{0:0.38, 2:0.37, 4:0.18, 6:0.05, 18:0.02}",NaN,NaN,esmerelda,no_skip,2,0,2,0,0,2,4,4,2,0,2,0,2,4,2,NaN,2,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,Oct 6,19,"{5:0.5, 8:0.35, 10:0.1, 18:0.04, 30:0.01}",NaN,NaN,"giovanni, 1% pull!",no_skip,NaN,NaN,NaN,NaN,5,8,5,8,8,NaN,5,30,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,Oct 6,20,"{0:0.38, 2:0.37, 4:0.18, 6:0.05, 18:0.02}",NaN,NaN,esmerelda,no_skip,2,4,NaN,NaN,4,4,2,4,NaN,2,4,0,2,6,2,NaN,6,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,Oct 7,0,"{0:0.38, 2:0.37, 4:0.18, 6:0.05, 18:0.02}",NaN,NaN,esmerelda,no_skip,0,4,4,0,2,4,4,0,0,2,0,NaN,0,6,2,NaN,4,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,Oct 7,20,"{0:0.38, 2:0.37, 4:0.18, 6:0.05, 18:0.02}",NaN,NaN,esmerelda,no_skip,0,2,2,4,0,0,2,2,NaN,0,NaN,0,0,2,NaN,NaN,4,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
